epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2713.3,0.85773,0.70609,1.18389,0.91983,0.64988,0.71489,0.55168,0.80905,0.91714,1.25494,0.0002525,0.0002525,0.0002525
72,2751.3,0.87394,0.72172,1.20064,0.88318,0.6585,0.72325,0.57881,0.82062,0.90804,1.29814,0.000246947,0.000246947,0.000246947
73,2789.2,0.86327,0.70164,1.18974,0.6791,0.7449,0.71397,0.56664,0.8467,0.968,1.29525,0.000241396,0.000241396,0.000241396
74,2827.27,0.87178,0.72156,1.19933,0.72627,0.70493,0.7236,0.58017,0.81852,0.95285,1.28179,0.000235851,0.000235851,0.000235851
75,2865.24,0.85628,0.69806,1.18128,0.83576,0.71684,0.70536,0.54719,0.79256,0.93645,1.27247,0.000230314,0.000230314,0.000230314
76,2903.39,0.84504,0.67246,1.18254,0.92558,0.67909,0.73449,0.59302,0.75329,0.89018,1.19434,0.000224789,0.000224789,0.000224789
77,2941.6,0.86839,0.70294,1.18888,0.59755,0.75,0.73274,0.59155,0.78084,0.78837,1.22498,0.000219277,0.000219277,0.000219277
78,2979.5,0.8511,0.6839,1.17869,0.83934,0.7005,0.72587,0.57985,0.80052,0.93556,1.22877,0.000213782,0.000213782,0.000213782
79,3017.46,0.84135,0.67117,1.17039,0.87371,0.68123,0.72533,0.58394,0.77356,0.93605,1.19126,0.000208307,0.000208307,0.000208307
80,3055.44,0.83208,0.67841,1.17936,0.77672,0.68318,0.69187,0.54779,0.84499,0.98673,1.27219,0.000202854,0.000202854,0.000202854
81,3093.36,0.8415,0.66846,1.16858,0.91143,0.7022,0.72947,0.56845,0.82506,0.97026,1.2337,0.000197426,0.000197426,0.000197426
82,3131.41,0.84031,0.66761,1.18557,0.82155,0.71754,0.72907,0.5783,0.80363,0.92448,1.25462,0.000192026,0.000192026,0.000192026
83,3169.28,0.81367,0.64944,1.15957,0.82131,0.71131,0.73131,0.57553,0.78428,0.94506,1.23125,0.000186656,0.000186656,0.000186656
84,3207.2,0.8372,0.67343,1.17593,0.91827,0.69022,0.73712,0.57305,0.81126,0.96322,1.28562,0.000181319,0.000181319,0.000181319
85,3245.22,0.81559,0.64498,1.15882,0.85868,0.63265,0.64909,0.5027,0.81161,0.91837,1.26162,0.000176018,0.000176018,0.000176018
86,3283.18,0.8275,0.65123,1.16533,0.78289,0.72236,0.70971,0.5597,0.75599,0.92687,1.21114,0.000170756,0.000170756,0.000170756
